year,name,label,keyword,ner,tf_idf
105,放射性廢棄物貯存與處置安全管制技術發展(1/4),能源,,,"\n子項, 放射性, 廢棄物, 核子, 燃料"
105,依法執行核設施清理作業(3/4),能源,,,"廢棄物, 設施, 放射性, 作業, 核"
105,原子能科技學術合作研究計畫(1/1),能源,,,"核能, 科技, 領域, 學術, 人才"
105,核設施除役之輻射安全與人員生物劑量評估技術研究(4/4),能源,,,"劑量, 輻射, 人員, 生物, 設施"
105,核能電廠安全管制法規與技術研究計畫(1/4),能源,,,"核安, 核能, 福島, 國際, 機組"
105,核能技術及核電廠除役之安全強化研究(2/4),能源,,,"反應器, 事故, 進步型, 沸水式, 圍阻體"
105,能源國家型科技計畫(2/4)-新及再生能源技術研發,能源,,,"經費, 能源, 國家型, 科技, 總經費"
105,能源國家型科技計畫—節約能源技術研發(2/4),能源,,,"能源, 國家型, 科技, 總經費, 新臺幣"
105,105年度「學界及業界能源科技研究發展計畫」(1/1),能源,,,"能源, 經費, 科技, 上限, 業界"
105,105年度「再生能源發展與推廣計畫」(1/1),能源,,,"經費, 能源, 科技, 策略, 太陽"
105,105年度「能源效率管理與節能技術推廣輔導計畫」(1/1),能源,,,"能源, 效率, 策略, 政策, 高效率"
106,深度減碳之研發(1/4),能源,,,"材料, 電池, 熱電, 催化劑, 工作"
106,深度減碳，邁向永續社會(1/4),能源,,,"社會, 碳, 深度, 環境, 經濟"
106,產品碳足跡揭露服務計畫(碳足跡雲)(3/4),能源,,,"碳足跡, 平台, 產品, 碳, 係數"
106,創新低碳綠建築環境科技計畫(3/4),能源,,,"建築, 科技, 環境, 材料, 生態"
106,能源科技人才培育計畫(4/4),能源,,,"能源, 教育, 課程, 科技, 人才"
106,奈米材料產業技術發展綱要計畫(3/4),能源,,,"奈米, 材料, 淋巴, 機能, 腫瘤"
106,石化產業高値化系統技術與應用發展計畫(4/4),能源,,,"國內, 材料, 製程, 石化, 關鍵"
106,能源國家型科技計畫-能源產業技術發展綱要計畫(4/5),能源,,,"能源, 電池, 模組, 材料, 製程"
106,電子光電產業科技發展綱要計畫(2/4),能源,,,"模組, 材料, 產品, 領域, 關鍵"
106,綠色循環與二氧化碳新碳源創新材料計畫(1/4),能源,,,"材料, 循環, 製程, 綠色, 化學"
106,綠能科技產業推動中心營運計畫(1/1),能源,,,"綠能, 能源, 科技, 能量, 政策"
106,智慧電動車輛產業推動計畫(3/4),能源,,,"智慧, 車輛, 策略, 機車, 政策"
106,能源國家型科技計畫-產業溫室氣體減量推動計畫(4/5),能源,,,"製造業, 量, 溫室, 氣體, 實質"
106,製造業產品環境足跡與資源永續推動計畫(3/4),能源,,,"產品, 環境, 國際, 低碳, 資源"
106,產業綠色成長推動計畫(1/4),能源,,,"綠色, 循環, 經濟, 產品, 廠商"
106,產業永續發展計畫(1/4),能源,,,"綠色, 環境, 環保, 策略, 資訊"
106,工業減碳領航計畫(1/4),能源,,,"能源, 燃料, 製程, 低碳, 碳"
106,產業園區能資源整合及工業安全推動計畫(1/4),能源,,,"園區, 資源, 資訊, 事故, 區域"
106,綠色工廠與資源再生綠色產品推動計畫(2/4),能源,,,"綠色, 工廠, 產品, 標章, 資源"
106,材料與化工產業整合發展計畫(1/4),能源,,,"材料, 化學品, 產品, 化工, 國際"
106,新世代化學應用材料產業輔導與推廣計畫(2/4),能源,,,"石化, 產品, 聯盟, 人才, 材料"
106,能源國家型科技計畫-再生能源產業推動計畫(1/2),能源,,,"國內, 能源, 風力機, 太陽, 光電"
106,推動兩岸標準計量檢驗認證合作計畫(4/4),能源,,,"兩岸, 標準, 領域, 貿易, 機制"
106,能源國家型計畫-新興能源產品檢測標準與驗證技術計畫(1/2),能源,,,"標準, 小型, 能量, 平台, 太陽"
106,再生能源憑證中心及檢測驗證發展計畫(1/4),能源,,,"能源, 憑證, 資訊, 國際, 中心"
106,服務業能源管理與技術輔導計畫(4/4),能源,,,"碳, 氣候, 服務業, 企業, 國內"
106,離岸風場區塊開發海域環境建構計畫(1/1),能源,,,"海域, 地質, 調查, 風電, 區塊"
106,沙崙綠能科學城-綠能科技示範場域旗艦計畫(1/4),能源,,,"電池, 能源, 太陽, 光電, 平台"
106,臺灣東北海域礦產資源潛能調查(2/4),能源,,,"東北, 海域, 熱液, 質, 地質"
106,提升中小企業節能減碳能力輔導計畫(4/4),能源,,,"碳, 能源, 中小企業, 商機, 溫室"
106,低碳排放之無機聚合綠色水泥及混凝土製備研究(2/4),能源,,,"水泥, 綠色, 混凝土, 性質, 耐候性"
106,能源國家型科技計畫-低碳運輸系統發展計畫(3/4),能源,,,"政策, 需求, 模組, 交通, 資料庫"
106,強化區域合作─推動中南部智慧機械及航太產業升級計畫(1/4),能源,,,"智慧, 科學園區, 雷射, 生產力, 成果"
106,綠能科技前瞻研究計畫(1/4),能源,,,"綠能, 晶片, 沙崙, 科學城, 平台"
106,台灣光子源綠能生醫旗艦計畫(1/4),能源,,,"台灣, 綠能, 材料, 生技, 大學"
106,循環材料之高值化計畫(1/4),能源,,,"循環, 業界, 材料, 學界, 經濟部"
106,綠能科技產學研鏈結計畫(1/1),能源,,,"綠能, 科技, 科學城, 沙崙, 中心"
106,國家型科技計畫辦公室維運計畫(1/1),能源,季報,"一.103年, 半年, 三年期, 102~104, 國家型科技計畫辦公室, 國科會","國家型, 科技, 辦公室, 工作, 成果"
106,能源國家型科技計畫-能源主軸與產業需求科技研究(4/5),能源,,,"主軸, 能源, 中心, 智慧, 小組"
106,中部科學工業園區業務推展(1/1),能源,,,"人才, 園區, 環境, 場域, 廠商"
106,新竹科學工業園區業務推展(1/1),能源,,,"園區, 環境, 競爭力, 廠商, 智慧"
106,能源國家型科技計畫—永續能源技術與策略發展應用計畫(2/3),能源,,,"主軸, 能源, 性能, 電池, 效率"
106,原子能系統工程跨域整合發展計畫(1/4),能源,,,"藥物, 電漿, 製程, 設計, 功能"
